# generated by standalone/check-upstream-text.py, scanner 1
# file:line	class	string
src/frontend/sdl/settings.cpp:150	ui	LOCAL WIRELESS, OR INTERNET. AUTO JOINS A SESSION, ELSE HOSTS ONE
src/frontend/sdl/settings.cpp:40	ui	MAGENTA
src/frontend/sdl/settings.cpp:182	ui	MAIN SCREEN
src/frontend/sdl/settings.cpp:43	ui	MARCH
src/frontend/sdl/settings.cpp:44	ui	MAY
src/frontend/sdl/settings.cpp:219	ui	MESSAGE
src/frontend/sdl/settings.cpp:149	ui	NETWORK FEATURES
src/frontend/sdl/settings.cpp:191	ui	NEVER FADE
src/frontend/sdl/settings.cpp:217	ui	NICKNAME
src/frontend/sdl/settings.cpp:226	ui	NOT CHECKED AGAINST THE MONTH, AS THE CONSOLE DOES NOT EITHER
src/frontend/sdl/settings.cpp:42	ui	NOVEMBER
src/frontend/sdl/settings.cpp:45	ui	NOVEMBER
src/frontend/sdl/settings.cpp:45	ui	OCTOBER
src/frontend/sdl/settings.cpp:16	ui	OFF
